,,pyFume,pyFume,test_custom,test_custom,test_custom,train_custom,train_custom,train_custom
,,train_pyFume,test_pyFume,q_0.2,q_0.4,q_0.6,q_0.2,q_0.4,q_0.6
n_sets,statistic_measures,,,,,,,,
2,Min,0.18458,0.22089,0.22085,0.22084,0.22085,0.20877,0.20884,0.20877
2,Max,0.23619,0.22316,0.22151,0.22085,0.22109,0.20888,0.20885,0.20884
2,Std,0.01170,0.00052,0.00020,0.00000,0.00005,0.00002,0.00000,0.00002
2,Mean,0.21129,0.22161,0.22093,0.22084,0.22086,0.20884,0.20884,0.20884
3,Min,0.18901,0.22035,0.21990,0.21990,0.21990,0.20753,0.20753,0.20753
3,Max,0.22810,0.22206,0.21997,0.21997,0.21997,0.20765,0.20765,0.20765
3,Std,0.01041,0.00045,0.00003,0.00003,0.00003,0.00005,0.00006,0.00006
3,Mean,0.20649,0.22120,0.21992,0.21994,0.21993,0.20757,0.20759,0.20758
4,Min,0.19160,0.21768,0.21838,0.21838,0.21838,0.20635,0.20635,0.20635
4,Max,0.22994,0.22118,0.21852,0.21852,0.21852,0.20652,0.20652,0.20652
4,Std,0.00993,0.00079,0.00003,0.00004,0.00006,0.00004,0.00005,0.00007
4,Mean,0.21212,0.22004,0.21852,0.21851,0.21850,0.20651,0.20650,0.20649
5,Min,0.18916,0.21668,0.21589,0.21589,0.21663,0.20479,0.20461,0.20477
5,Max,0.23115,0.22110,0.22014,0.21994,0.22003,0.20623,0.20572,0.20623
5,Std,0.01308,0.00089,0.00107,0.00114,0.00096,0.00045,0.00039,0.00042
5,Mean,0.21071,0.21873,0.21934,0.21890,0.21918,0.20572,0.20541,0.20566
6,Min,0.18608,0.21641,0.21766,0.21766,0.21761,0.20503,0.20505,0.20505
6,Max,0.21815,0.22104,0.21988,0.22124,0.22078,0.20587,0.20560,0.20606
6,Std,0.00835,0.00098,0.00083,0.00125,0.00106,0.00019,0.00017,0.00023
6,Mean,0.20699,0.21875,0.21875,0.21875,0.21932,0.20523,0.20523,0.20528
7,Min,0.19065,0.21530,0.22044,0.21984,0.21864,0.20390,0.20394,0.20354
7,Max,0.23288,0.22650,0.22291,0.22335,0.22294,0.20458,0.20470,0.20458
7,Std,0.01234,0.00263,0.00086,0.00098,0.00116,0.00020,0.00018,0.00024
7,Mean,0.20888,0.21881,0.22161,0.22128,0.22150,0.20431,0.20425,0.20425
8,Min,0.18297,0.21486,0.22191,0.22188,0.22148,0.20341,0.20341,0.20341
8,Max,0.22262,0.22176,0.22248,0.22248,0.22248,0.20445,0.20445,0.20445
8,Std,0.01043,0.00192,0.00015,0.00018,0.00019,0.00043,0.00041,0.00043
8,Mean,0.21015,0.21708,0.22203,0.22208,0.22205,0.20415,0.20408,0.20378
9,Min,0.17298,0.21490,0.22030,0.22028,0.22041,0.20159,0.20221,0.20244
9,Max,0.27207,0.22989,0.22415,0.22394,0.22437,0.20423,0.20388,0.20391
9,Std,0.01958,0.00471,0.00102,0.00102,0.00094,0.00066,0.00040,0.00035
9,Mean,0.21573,0.21986,0.22145,0.22192,0.22167,0.20301,0.20308,0.20292
10,Min,0.18768,0.21245,0.22115,0.22094,0.22088,0.20217,0.20176,0.20249
10,Max,0.36632,0.23443,0.22705,0.22649,0.22589,0.20406,0.20406,0.20406
10,Std,0.03619,0.00415,0.00175,0.00142,0.00136,0.00059,0.00061,0.00053
10,Mean,0.21287,0.21738,0.22322,0.22244,0.22247,0.20332,0.20339,0.20334
