,Relative_yield_change,yield_of_CT,Latitude,Longitude,Years_since_CT_started,Crop_rotation_CT,Crop_rotation_NT,ST,Soil_cover_in_CT,Soil_cover_in_CT,Soil_cover_in_CT,Soil_cover_in_CT,Weed_pest_control_CT,Weed_pest_control_NT,P,E,PB,Tave,Tmax,Tmin
677,-0.007,9558.0,37.87,-84.25,9,0,0,0,1435.0,976.0,1435.0,976.0,0.0,0.0,423.8,529.532,-105.732,20.66667,28.42663,8.91625
1400,-0.0164,9160.0,44.07,-93.52,1,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,641.8,465.992,175.808,16.93333,28.78427,4.50361
2484,-0.1333,4500.0,-2.35,30.25,1,0,0,3,1435.0,1435.0,1435.0,1435.0,0.0,0.0,464.4,520.069,-55.669,24.35,26.48293,17.14181
3142,-0.0566,8650.0,-37.75,-58.3,1,0,0,1,1435.0,1435.0,1435.0,1435.0,0.0,0.0,693.9,605.484,88.416,17.51429,25.78936,8.37571
1175,-0.0516,8565.0,40.65,-104.98,5,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,223.0,576.644,-353.644,14.8,31.98261,-5.42037
3997,-0.2069,9318.0,34.3,-86.02,17,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,724.0,628.795,95.205,21.78333,31.13493,6.42071
1625,-0.0472,7410.0,34.3,-79.73,13,0,0,0,1435.0,976.0,1435.0,976.0,0.0,0.0,521.3,603.905,-82.605,24.45,33.06484,13.34783
1876,0.0164,6100.0,45.87,-81.92,9,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,454.9,491.747,-36.847,13.23333,22.01139,2.56994
422,-0.0979,9090.0,39.08,-76.65,16,1,1,4,1435.0,976.0,1435.0,976.0,0.0,0.0,568.9,552.133,16.767,20.28333,27.7814,7.58185
1869,-0.3793,5800.0,45.87,-81.92,1,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,331.0000057,561.1461641,-230.146,12.95000029,25.99292977,2.944015749
4400,-0.0992,12100.0,45.55,18.69,2,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,533.1,443.249,89.851,15.75714,26.23392,3.62873
4310,-0.1221,11195.0,51.33,-85.33,2,1,1,3,1435.0,976.0,1435.0,976.0,0.0,0.0,262.0,379.32,-117.32,11.15,22.09153,-0.10379
2625,0.0824,692.0,-19.58,31.23,10,1,1,2,1435.0,1435.0,1435.0,1435.0,0.0,0.0,525.5,609.681,-84.181,22.38333,26.21487,8.72521
1737,0.0439,4324.0,-0.52,37.27,1,1,1,3,1435.0,1435.0,1435.0,1435.0,0.0,0.0,565.7,780.391,-214.691,21.325,30.64233,15.96019
755,-0.1485,9290.0,42.22,-82.73,10,0,0,1,1435.0,976.0,1435.0,976.0,0.0,0.0,502.5,510.423,-7.923,18.16667,25.69895,6.81734
3374,-0.0493,13055.0,-28.92,29.55,14,1,1,1,1435.0,976.0,1435.0,976.0,0.0,0.0,545.6,664.571,-118.971,8.88571,20.22965,3.92448
3462,-0.0702,7120.0,39.05,-76.9,25,0,0,0,1435.0,976.0,1435.0,976.0,0.0,0.0,623.9,524.852,99.048,20.23333,31.05993,9.18225
1973,-0.1348,32280.0,40.63,22.8,2,1,1,1,1435.0,976.0,1435.0,976.0,0.0,0.0,25.8,444.238,-418.438,23.8,33.81107,13.65868
4342,-0.0053,6609.0,35.32,106.07,4,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,288.3,360.971,-72.671,13.16,23.88756,-1.61313
3848,-0.1811,12590.0,44.75,-93.07,20,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,489.1,468.903,20.197,16.03333,26.37735,2.8024
2163,0.0455,2200.0,11.13,8.25,4,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,629.3,427.89,201.41,25.875,33.04975,20.35808
1440,0.1205,8300.0,31.38,72.03,3,1,1,0,976.0,976.0,976.0,976.0,0.0,0.0,489.9,406.5,83.4,30.62,38.91278,19.24657
1922,-0.0374,5637.0,-29.53,30.28,11,1,1,4,1435.0,976.0,1435.0,976.0,0.0,0.0,480.3,681.498,-201.198,19.45,26.76873,3.33438
3320,-0.1416,11300.0,42.02,-93.75,12,0,0,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,530.2,543.476,-13.276,18.98333,31.00905,3.25557
3407,0.0332,3859.0,-28.92,29.55,25,1,1,1,1435.0,976.0,1435.0,976.0,0.0,0.0,525.1,679.758,-154.658,8.3,21.32608,3.09542
4011,-0.0534,11508.0,34.3,-86.02,22,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,799.6,609.677,189.923,22.01667,31.09053,10.40166
1711,-0.3819,3090.0,-0.75,37.75,3,1,1,1,976.0,976.0,976.0,976.0,0.0,0.0,555.7,775.185,-219.485,23.725,32.92098,18.02618
1444,0.0917,12000.0,31.38,72.03,3,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,489.9,406.5,83.4,30.62,38.91278,19.24657
318,0.0744,8137.622732,40.52,-98.06,6,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,600.3,536.187,64.113,18.8,30.63168,4.48174
2515,-0.24,10000.0,-2.35,30.25,3,0,0,3,1435.0,976.0,1435.0,976.0,0.0,0.0,342.0,526.376,-184.376,24.825,26.99082,16.62827
762,-0.1084,10700.0,42.22,-82.73,12,0,0,1,1435.0,976.0,1435.0,976.0,0.0,0.0,425.9,510.382,-84.482,18.18333,27.80017,7.15456
3973,-0.0797,6438.0,37.5,112.5,16,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,290.1,464.075,-173.975,22.82,29.74644,10.25183
2427,-0.0484,8631.0,43.3,-89.35,11,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,554.3,479.931,74.369,17.71667,28.13424,5.21823
1465,0.1643,4200.0,38.0,-84.5,14,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,700.5,538.405,162.095,21.33333,33.3985,8.79652
2490,-0.5726,2340.0,-2.35,30.25,1,0,0,3,1435.0,1435.0,1435.0,1435.0,0.0,0.0,464.4,520.069,-55.669,24.35,26.48293,17.14181
2511,-0.5,1800.0,-2.35,30.25,2,0,0,3,1435.0,976.0,1435.0,976.0,0.0,0.0,558.3,512.182,46.118,24.425,26.6788,17.19974
4343,-0.0599,7616.0,35.32,106.07,7,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,460.1,378.123,81.977,14.52,22.54871,2.44557
2752,0.0233,12020.0,51.03,17.35,5,0,0,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,403.5,428.102,-24.602,13.88571,26.64484,1.77962
826,-0.0758,7390.0,42.02,-93.75,2,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,550.9,490.997,59.903,18.71667,28.17155,5.35148
3325,0.0079,12700.0,42.02,-93.75,15,0,0,0,1435.0,976.0,1435.0,976.0,0.0,0.0,447.3,549.174,-101.874,19.25,30.55226,2.8713
886,-0.2617,1498.0,19.52,-98.83,5,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,1068.1,661.247,406.853,13.44286,24.50043,6.99138
4055,-0.248,11685.0,40.47,-86.98,15,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,604.2,507.199,97.001,18.6,29.51555,5.9568
3662,0.0308,8450.0,36.97,117.98,6,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,549.7,467.021,82.679,23.26,30.34392,15.63515
1447,0.2143,9800.0,31.38,72.03,2,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,202.1,384.957,-182.857,31.72,41.81672,19.74682
2719,-0.1217,9610.0,43.28,-81.47,2,1,1,1,1435.0,1435.0,1435.0,1435.0,0.0,0.0,420.7,552.26,-131.56,17.35,27.27467,6.81687
