,Relative_yield_change,Crop,yield_of_CT,Latitude,Longitude,Years_since_CT_started,Crop_rotation_CT,Crop_rotation_NT,ST,Soil_cover_in_CT,Soil_cover_in_CT,Weed_pest_control_CT,Weed_pest_control_NT,P,E,PB,Tave,Tmax,Tmin
39,-0.0238,maize,5470.0,45.42,-73.93,2,1,1,0,1486.0,1015.0,0.0,0.0,555.9,493.022,62.878,15.7,26.54872,0.79462
40,-0.0758,maize,2110.0,45.42,-73.93,2,1,1,0,1486.0,1015.0,0.0,0.0,555.9,493.022,62.878,15.7,26.54872,0.79462
41,0.1736,maize,6740.0,45.42,-73.93,3,1,1,0,1486.0,1015.0,0.0,0.0,642.0,484.948,157.052,16.16667,26.13306,2.31443
42,-0.1622,maize,3390.0,45.42,-73.93,3,1,1,0,1486.0,1015.0,0.0,0.0,642.0,484.948,157.052,16.16667,26.13306,2.31443
61,-0.123,maize,8659.0,44.31,-96.79,3,0,0,0,1486.0,1015.0,0.0,0.0,503.5,541.433,-37.933,17.8,29.15936,3.41993
62,0.1625,maize,3845.0,44.31,-96.79,3,0,0,0,1486.0,1015.0,1.0,1.0,503.5,541.433,-37.933,17.8,29.15936,3.41993
63,0.0501,maize,8442.0,44.31,-96.79,4,0,0,0,1486.0,1015.0,0.0,0.0,372.1999984,542.5349577,-170.335,16.83333341,31.3676935,0.722333847
64,0.5216,maize,4893.0,44.31,-96.79,4,0,0,0,1486.0,1015.0,1.0,1.0,372.1999984,542.5349577,-170.335,16.83333341,31.3676935,0.722333847
160,-0.5251,maize,21900.0,34.28,-85.97,2,0,0,0,1486.0,1486.0,0.0,0.0,799.6,609.677,189.923,22.01667,31.09053,10.40166
161,-0.2741,maize,19700.0,34.28,-85.97,3,0,0,0,1486.0,1486.0,0.0,0.0,834.0,629.7,204.3,22.76667,32.11294,11.09104
162,-0.2385,maize,10900.0,34.28,-85.97,4,0,0,0,1486.0,1486.0,0.0,0.0,837.3,580.529,256.771,21.95,31.50594,8.81776
219,-0.0169,maize,8880.0,42.87,-80.52,1,1,1,2,1486.0,1015.0,0.0,0.0,541.1,542.27,-1.17,15.45,24.91466,4.70061
220,0.0208,maize,6250.0,42.87,-80.52,2,1,1,2,1486.0,1015.0,0.0,0.0,264.3,585.537,-321.237,17.61667,26.51865,6.44425
221,0.7477,maize,2220.0,42.87,-80.52,3,1,1,2,1486.0,1015.0,0.0,0.0,415.5,591.695,-176.195,17.01667,28.8529,5.31679
231,-0.128,maize,12890.0,52.43,16.9,9,1,1,2,1486.0,1015.0,0.0,0.0,288.4,390.685,-102.285,14.18571,25.82863,4.04374
232,-0.3216,maize,12780.0,52.43,16.9,10,1,1,2,1486.0,1015.0,0.0,0.0,271.8,418.851,-147.051,14.98571,25.59155,2.9699
233,-0.1405,maize,13810.0,52.43,16.9,11,1,1,2,1486.0,1015.0,0.0,0.0,310.0,421.681,-111.681,15.87143,30.38798,4.35968
234,-0.0943,maize,21530.0,52.43,16.9,12,1,1,2,1486.0,1015.0,0.0,0.0,336.2,411.782,-75.582,14.67143,24.48665,3.57502
235,-0.1609,maize,12240.0,52.43,16.9,13,1,1,2,1486.0,1015.0,0.0,0.0,301.3,400.28,-98.98,14.67143,25.6385,4.06182
236,-0.1148,maize,13590.0,52.43,16.9,14,1,1,2,1486.0,1015.0,0.0,0.0,397.9,419.37,-21.47,14.62857,25.18136,5.0761
237,-0.3324,maize,14590.0,52.43,16.9,15,1,1,2,1486.0,1015.0,0.0,0.0,461.7,387.338,74.362,13.87143,27.23653,2.47817
238,-0.2594,maize,14300.0,52.43,16.9,16,1,1,2,1486.0,1015.0,0.0,0.0,331.6,415.668,-84.068,15.32857,24.55087,5.82546
239,-0.3543,maize,24640.0,52.43,16.9,17,1,1,2,1486.0,1015.0,0.0,0.0,423.3,411.656,11.644,14.54286,24.49335,4.0788
240,-0.3285,maize,17080.0,52.43,16.9,18,1,1,2,1486.0,1015.0,0.0,0.0,378.2,407.489,-29.289,14.91429,26.174,4.26026
241,-0.2652,maize,15160.0,52.43,16.9,19,1,1,2,1486.0,1015.0,0.0,0.0,416.2,422.759,-6.559,15.64286,27.86493,5.89026
242,-0.1268,maize,16960.0,52.43,16.9,20,1,1,2,1486.0,1015.0,0.0,0.0,269.6,413.333,-143.733,14.78571,29.17326,2.91577
243,0.1271,maize,11800.0,50.62,3.57,14,0,0,0,1486.0,1015.0,0.0,0.0,526.4,393.164,133.236,14.11429,23.12823,4.51994
249,-0.2909,maize,8553.0,45.93,17.02,15,0,0,0,1486.0,1015.0,0.0,0.0,527.7,498.005,29.695,16.12857,28.04123,6.77226
250,0.4717,maize,3884.0,45.93,17.02,19,0,0,0,1486.0,1015.0,0.0,0.0,466.1,518.456,-52.356,17.2,31.69037,6.63699
254,0.329,maize,6140.0,-36.5,-63.82,5,0,0,0,1486.0,1015.0,0.0,0.0,400.4,731.247,-330.847,22.1,33.71338,9.23935
317,-0.1082,maize,7465.295751,40.52,-98.06,5,1,1,0,1486.0,1486.0,0.0,0.0,282.7,580.822,-298.122,20.46667,33.1505,5.02765
318,0.0744,maize,8137.622732,40.52,-98.06,6,1,1,0,1486.0,1486.0,0.0,0.0,600.3,536.187,64.113,18.8,30.63168,4.48174
319,-0.0221,maize,6120.641791,40.52,-98.06,7,1,1,0,1486.0,1486.0,0.0,0.0,603.1,513.386,89.714,18.78333,32.13759,6.28692
320,0.0515,maize,9146.649348,40.52,-98.06,8,1,1,0,1486.0,1486.0,0.0,0.0,565.7,554.054,11.646,20.3,35.41029,6.61514
321,-0.0158,maize,12846.05618,40.52,-98.06,9,1,1,0,1486.0,1486.0,0.0,0.0,413.6,572.305,-158.705,19.5,33.12348,5.74753
322,0.0361,maize,11164.70258,40.52,-98.06,12,1,1,0,1486.0,1486.0,0.0,0.0,492.5,572.699,-80.199,19.75,33.60631,1.71847
323,0.0898,maize,11231.18467,40.52,-98.06,13,1,1,0,1486.0,1486.0,0.0,0.0,376.7,571.233,-194.533,20.46667,32.92349,2.88252
324,0.1091,maize,10491.30331,40.52,-98.06,14,1,1,0,1486.0,1486.0,0.0,0.0,530.0,525.675,4.325,19.0,31.65058,4.48831
325,0.0856,maize,10222.15806,40.52,-98.06,15,1,1,0,1486.0,1486.0,0.0,0.0,546.3,563.897,-17.597,19.8,31.05623,4.28486
326,0.1788,maize,10155.67596,40.52,-98.06,16,1,1,0,1486.0,1486.0,0.0,0.0,359.8,547.163,-187.363,20.51667,33.44086,3.20611
331,-0.5723,maize,9470.0,45.05,11.88,8,0,0,0,1486.0,1015.0,0.0,0.0,310.0,568.509,-258.509,21.25,33.94712,8.06742
420,0.6667,maize,1590.0,36.32,-78.58,2,1,1,0,1486.0,1015.0,0.0,0.0,562.7,612.8,-50.1,21.91667,33.37787,6.39951
421,4.0118,maize,850.0,36.34,-79.68,2,1,1,0,1486.0,1015.0,0.0,0.0,733.5,594.217,139.283,21.8,32.52586,7.40057
422,-0.0979,maize,9090.0,39.08,-76.65,16,1,1,4,1486.0,1015.0,0.0,0.0,568.9,552.133,16.767,20.28333,27.7814,7.58185
423,-0.0077,maize,7810.0,39.08,-76.65,17,1,1,4,1486.0,1015.0,0.0,0.0,544.1,602.167,-58.067,20.15,29.46641,7.04664
424,0.1339,maize,3360.0,39.08,-76.65,18,1,1,4,1486.0,1015.0,0.0,0.0,483.2,602.573,-119.373,21.5,31.59027,9.1854
425,-0.2308,maize,5590.0,39.08,-76.65,19,1,1,4,1486.0,1015.0,0.0,0.0,911.2,517.77,393.43,20.25,29.59638,7.15413
426,0.0684,maize,11700.0,39.08,-76.65,20,1,1,4,1486.0,1015.0,0.0,0.0,652.3,545.786,106.514,21.15,29.26216,8.45563
427,-0.0283,maize,10600.0,39.08,-76.65,21,1,1,4,1486.0,1015.0,0.0,0.0,567.6,567.167,0.433,21.33333,30.5935,9.51183
437,0.0384,maize,11710.0,37.0,35.35,2,0,0,1,1486.0,1486.0,0.0,0.0,53.6,702.398,-648.798,25.9,33.66442,18.44878
472,-0.1719,maize,1774.0,7.58,3.92,2,1,1,4,1486.0,1015.0,0.0,0.0,664.9,480.453,184.447,27.84,33.81404,22.65051
474,0.1906,maize,7733.0,38.19,-84.87,3,0,0,0,1486.0,1015.0,0.0,0.0,684.5,533.719,150.781,20.56667,29.89469,7.46473
475,0.1516,maize,8102.0,38.19,-84.87,3,0,0,0,1486.0,1015.0,0.0,0.0,684.5,533.719,150.781,20.56667,29.89469,7.46473
476,0.1213,maize,8102.0,38.19,-84.87,3,0,0,0,1486.0,1015.0,0.0,0.0,684.5,533.719,150.781,20.56667,29.89469,7.46473
477,0.0641,maize,6728.0,38.19,-84.87,2,0,0,0,1486.0,1015.0,0.0,0.0,758.2,542.156,216.044,21.0,32.8958,7.43173
478,-0.0846,maize,7283.0,38.19,-84.87,2,0,0,0,1486.0,1015.0,0.0,0.0,758.2,542.156,216.044,21.0,32.8958,7.43173
479,0.0,maize,7407.0,43.15,-80.78,2,0,0,0,1486.0,1015.0,0.0,0.0,484.3,571.474,-87.174,18.16667,27.29655,7.22449
480,0.0,maize,4648.0,44.45,26.52,3,0,0,1,1486.0,1015.0,0.0,0.0,256.3,513.395,-257.095,21.14,35.06228,8.55298
481,0.0588,maize,12952.0,44.45,26.52,4,0,0,1,1486.0,1015.0,0.0,0.0,296.0,516.679,-220.679,20.2,31.34772,7.48366
482,-0.0539,maize,9905.0,44.45,26.52,5,0,0,1,1486.0,1015.0,0.0,0.0,409.0,470.83,-61.83,18.86,31.54318,7.40149
483,-0.0666,maize,8000.0,44.45,26.52,6,0,0,1,1486.0,1015.0,0.0,0.0,272.2,489.969,-217.769,20.14,32.51652,5.63464
484,-0.0242,maize,6324.0,44.45,26.52,7,0,0,1,1486.0,1015.0,0.0,0.0,294.4,488.56,-194.16,20.02,32.0074,8.61479
485,-0.0338,maize,11276.0,44.45,26.52,8,0,0,1,1486.0,1015.0,0.0,0.0,171.9,486.037,-314.137,19.38,32.5615,4.90113
486,-0.0293,maize,5181.0,44.45,26.52,3,0,0,1,1486.0,1015.0,0.0,0.0,256.3,513.395,-257.095,21.14,35.06228,8.55298
487,-0.0311,maize,14705.0,44.45,26.52,4,0,0,1,1486.0,1015.0,0.0,0.0,296.0,516.679,-220.679,20.2,31.34772,7.48366
488,0.0136,maize,11200.0,44.45,26.52,5,0,0,1,1486.0,1015.0,0.0,0.0,409.0,470.83,-61.83,18.86,31.54318,7.40149
489,0.05,maize,10667.0,44.45,26.52,6,0,0,1,1486.0,1015.0,0.0,0.0,272.2,489.969,-217.769,20.14,32.51652,5.63464
490,0.1918,maize,7543.0,44.45,26.52,7,0,0,1,1486.0,1015.0,0.0,0.0,294.4,488.56,-194.16,20.02,32.0074,8.61479
491,-0.0063,maize,12191.0,44.45,26.52,8,0,0,1,1486.0,1015.0,0.0,0.0,171.9,486.037,-314.137,19.38,32.5615,4.90113
512,0.0351,maize,9120.0,42.75,-76.58,2,1,1,0,1486.0,1486.0,0.0,0.0,554.4,507.682,46.718,16.08571,28.81189,-0.16429
513,-0.0436,maize,10780.0,42.75,-76.58,2,1,1,0,1486.0,1486.0,0.0,0.0,554.4,507.682,46.718,16.08571,28.81189,-0.16429
514,-0.0449,maize,5790.0,42.75,-76.58,3,1,1,0,1486.0,1486.0,0.0,0.0,483.9,534.888,-50.988,16.14286,30.41045,1.28876
515,-0.2022,maize,9050.0,42.75,-76.58,3,1,1,0,1486.0,1486.0,0.0,0.0,483.9,534.888,-50.988,16.14286,30.41045,1.28876
516,0.3049,maize,4621.0,32.45,-89.4,2,1,1,0,1486.0,1015.0,0.0,0.0,575.6,528.719,46.881,24.96,33.96608,17.48646
517,0.2528,maize,6590.0,32.45,-89.4,4,1,1,0,1486.0,1015.0,0.0,0.0,646.6,549.314,97.286,24.98,33.53418,14.56407
518,-0.0399,maize,8265.0,32.45,-89.4,5,1,1,0,1486.0,1015.0,0.0,0.0,564.7,509.933,54.767,24.04,31.73262,14.99683
519,-0.1512,maize,7879.0,32.45,-89.4,6,1,1,0,1486.0,1015.0,0.0,0.0,558.7,570.454,-11.754,25.02,34.33841,16.4548
520,-0.3227,maize,4937.0,32.45,-89.4,7,1,1,0,1486.0,1015.0,0.0,0.0,588.1,541.79,46.31,24.8,32.78049,16.45278
521,-0.0486,maize,14400.0,40.92,-90.72,5,1,1,0,1486.0,1015.0,0.0,0.0,789.9000092,473.6726913,316.227,18.88333337,27.56902466,5.056931526
522,-0.0222,maize,13500.0,40.92,-90.72,6,1,1,0,1486.0,1015.0,0.0,0.0,953.8999901,542.4032001,411.497,21.21666654,30.85077692,5.935089604
523,-0.0504,maize,13900.0,40.92,-90.72,7,1,1,0,1486.0,1015.0,0.0,0.0,524.6999998,538.4389714,-13.739,20.50000048,32.49821423,5.561888172
524,0.0441,maize,13600.0,40.92,-90.72,8,1,1,0,1486.0,1015.0,0.0,0.0,447.6000023,559.736488,-112.136,20.80000019,34.64615754,4.477726598
525,-0.0606,maize,13200.0,40.92,-90.72,9,1,1,0,1486.0,1015.0,0.0,0.0,327.4999938,532.5715181,-205.072,20.36666616,29.63297395,5.493227067
526,0.0394,maize,12700.0,39.8,-90.82,5,1,1,0,1486.0,1015.0,0.0,0.0,704.7,507.529,197.171,19.11667,28.68951,5.74631
527,-0.0714,maize,14000.0,39.8,-90.82,6,1,1,0,1486.0,1015.0,0.0,0.0,895.4,576.611,318.789,21.33333,31.31466,6.93685
528,0.025,maize,8000.0,39.8,-90.82,7,1,1,0,1486.0,1015.0,0.0,0.0,386.7,569.084,-182.384,20.98333,33.27053,6.80028
529,0.625,maize,2400.0,39.8,-90.82,8,1,1,0,1486.0,1015.0,0.0,0.0,379.2,589.94,-210.74,21.66667,36.0036,6.03471
530,0.0155,maize,12900.0,39.8,-90.82,9,1,1,0,1486.0,1015.0,0.0,0.0,511.5,544.656,-33.156,20.68333,29.61581,6.62734
531,-0.1429,maize,14000.0,42.95,-92.53,33,1,1,0,1486.0,1015.0,0.0,0.0,773.8,460.628,313.172,16.65,25.75493,2.34993
532,-0.1901,maize,12100.0,42.95,-92.53,34,1,1,0,1486.0,1015.0,0.0,0.0,683.7,496.799,186.901,18.86667,28.9411,3.83533
533,-0.1618,maize,13600.0,42.95,-92.53,35,1,1,0,1486.0,1015.0,0.0,0.0,451.9,497.046,-45.146,18.16667,30.66593,4.51232
